flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,3,0,Nw_12.MX_3.app[0],11,0,Nw_12.MX_11.app[0]
f1,1,0,Nw_12.MX_1.app[0],8,0,Nw_12.MX_8.app[0]
f2,1,1,Nw_12.MX_1.app[1],8,1,Nw_12.MX_8.app[1]
f3,5,0,Nw_12.MX_5.app[0],8,2,Nw_12.MX_8.app[2]
f4,6,0,Nw_12.MX_6.app[0],11,1,Nw_12.MX_11.app[1]
f5,3,1,Nw_12.MX_3.app[1],4,1,Nw_12.MX_4.app[1]
f6,1,2,Nw_12.MX_1.app[2],9,0,Nw_12.MX_9.app[0]
f7,1,3,Nw_12.MX_1.app[3],8,3,Nw_12.MX_8.app[3]
f8,3,2,Nw_12.MX_3.app[2],8,4,Nw_12.MX_8.app[4]
f9,6,1,Nw_12.MX_6.app[1],11,2,Nw_12.MX_11.app[2]
f10,7,0,Nw_12.MX_7.app[0],10,0,Nw_12.MX_10.app[0]
f11,3,3,Nw_12.MX_3.app[3],9,1,Nw_12.MX_9.app[1]
f12,3,4,Nw_12.MX_3.app[4],11,3,Nw_12.MX_11.app[3]
f13,4,0,Nw_12.MX_4.app[0],9,2,Nw_12.MX_9.app[2]
f14,7,1,Nw_12.MX_7.app[1],11,4,Nw_12.MX_11.app[4]
f15,6,2,Nw_12.MX_6.app[2],11,5,Nw_12.MX_11.app[5]
f16,3,5,Nw_12.MX_3.app[5],8,5,Nw_12.MX_8.app[5]
f17,7,2,Nw_12.MX_7.app[2],11,6,Nw_12.MX_11.app[6]
f18,6,3,Nw_12.MX_6.app[3],11,7,Nw_12.MX_11.app[7]
f19,3,6,Nw_12.MX_3.app[6],11,8,Nw_12.MX_11.app[8]
