flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,3,0,Nw_77.MX_3.app[0],9,5,Nw_77.MX_9.app[5]
f1,1,0,Nw_77.MX_1.app[0],6,5,Nw_77.MX_6.app[5]
f2,5,0,Nw_77.MX_5.app[0],11,0,Nw_77.MX_11.app[0]
f3,4,0,Nw_77.MX_4.app[0],10,0,Nw_77.MX_10.app[0]
f4,5,1,Nw_77.MX_5.app[1],6,6,Nw_77.MX_6.app[6]
f5,5,2,Nw_77.MX_5.app[2],11,1,Nw_77.MX_11.app[1]
f6,5,3,Nw_77.MX_5.app[3],11,2,Nw_77.MX_11.app[2]
f7,6,0,Nw_77.MX_6.app[0],11,3,Nw_77.MX_11.app[3]
f8,3,1,Nw_77.MX_3.app[1],11,4,Nw_77.MX_11.app[4]
f9,4,1,Nw_77.MX_4.app[1],11,5,Nw_77.MX_11.app[5]
f10,4,2,Nw_77.MX_4.app[2],10,1,Nw_77.MX_10.app[1]
f11,3,2,Nw_77.MX_3.app[2],5,7,Nw_77.MX_5.app[7]
f12,8,0,Nw_77.MX_8.app[0],11,6,Nw_77.MX_11.app[6]
f13,4,3,Nw_77.MX_4.app[3],9,6,Nw_77.MX_9.app[6]
f14,2,0,Nw_77.MX_2.app[0],11,7,Nw_77.MX_11.app[7]
f15,9,0,Nw_77.MX_9.app[0],11,8,Nw_77.MX_11.app[8]
f16,3,3,Nw_77.MX_3.app[3],11,9,Nw_77.MX_11.app[9]
f17,3,4,Nw_77.MX_3.app[4],11,10,Nw_77.MX_11.app[10]
f18,3,5,Nw_77.MX_3.app[5],8,1,Nw_77.MX_8.app[1]
f19,4,4,Nw_77.MX_4.app[4],11,11,Nw_77.MX_11.app[11]
f20,7,0,Nw_77.MX_7.app[0],11,12,Nw_77.MX_11.app[12]
f21,4,5,Nw_77.MX_4.app[5],11,13,Nw_77.MX_11.app[13]
f22,9,1,Nw_77.MX_9.app[1],11,14,Nw_77.MX_11.app[14]
f23,5,4,Nw_77.MX_5.app[4],11,15,Nw_77.MX_11.app[15]
f24,1,1,Nw_77.MX_1.app[1],10,2,Nw_77.MX_10.app[2]
f25,5,5,Nw_77.MX_5.app[5],11,16,Nw_77.MX_11.app[16]
f26,2,1,Nw_77.MX_2.app[1],8,2,Nw_77.MX_8.app[2]
f27,2,2,Nw_77.MX_2.app[2],11,17,Nw_77.MX_11.app[17]
f28,9,2,Nw_77.MX_9.app[2],11,18,Nw_77.MX_11.app[18]
f29,4,6,Nw_77.MX_4.app[6],8,3,Nw_77.MX_8.app[3]
f30,9,3,Nw_77.MX_9.app[3],11,19,Nw_77.MX_11.app[19]
f31,5,6,Nw_77.MX_5.app[6],11,20,Nw_77.MX_11.app[20]
f32,6,1,Nw_77.MX_6.app[1],11,21,Nw_77.MX_11.app[21]
f33,6,2,Nw_77.MX_6.app[2],11,22,Nw_77.MX_11.app[22]
f34,9,4,Nw_77.MX_9.app[4],11,23,Nw_77.MX_11.app[23]
f35,6,3,Nw_77.MX_6.app[3],11,24,Nw_77.MX_11.app[24]
f36,6,4,Nw_77.MX_6.app[4],11,25,Nw_77.MX_11.app[25]
f37,4,7,Nw_77.MX_4.app[7],5,8,Nw_77.MX_5.app[8]
f38,2,3,Nw_77.MX_2.app[3],11,26,Nw_77.MX_11.app[26]
f39,4,8,Nw_77.MX_4.app[8],9,7,Nw_77.MX_9.app[7]
