flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,10,0,Nw_22.MX_10.app[0],12,0,Nw_22.MX_12.app[0]
f1,2,0,Nw_22.MX_2.app[0],3,1,Nw_22.MX_3.app[1]
f2,9,0,Nw_22.MX_9.app[0],12,1,Nw_22.MX_12.app[1]
f3,4,0,Nw_22.MX_4.app[0],6,8,Nw_22.MX_6.app[8]
f4,9,1,Nw_22.MX_9.app[1],12,2,Nw_22.MX_12.app[2]
f5,6,0,Nw_22.MX_6.app[0],8,1,Nw_22.MX_8.app[1]
f6,4,1,Nw_22.MX_4.app[1],12,3,Nw_22.MX_12.app[3]
f7,1,0,Nw_22.MX_1.app[0],10,3,Nw_22.MX_10.app[3]
f8,6,1,Nw_22.MX_6.app[1],12,4,Nw_22.MX_12.app[4]
f9,10,1,Nw_22.MX_10.app[1],12,5,Nw_22.MX_12.app[5]
f10,9,2,Nw_22.MX_9.app[2],11,0,Nw_22.MX_11.app[0]
f11,9,3,Nw_22.MX_9.app[3],12,6,Nw_22.MX_12.app[6]
f12,2,1,Nw_22.MX_2.app[1],6,9,Nw_22.MX_6.app[9]
f13,5,0,Nw_22.MX_5.app[0],7,4,Nw_22.MX_7.app[4]
f14,6,2,Nw_22.MX_6.app[2],9,6,Nw_22.MX_9.app[6]
f15,6,3,Nw_22.MX_6.app[3],12,7,Nw_22.MX_12.app[7]
f16,1,1,Nw_22.MX_1.app[1],10,4,Nw_22.MX_10.app[4]
f17,6,4,Nw_22.MX_6.app[4],12,8,Nw_22.MX_12.app[8]
f18,5,1,Nw_22.MX_5.app[1],9,7,Nw_22.MX_9.app[7]
f19,8,0,Nw_22.MX_8.app[0],12,9,Nw_22.MX_12.app[9]
f20,6,5,Nw_22.MX_6.app[5],8,2,Nw_22.MX_8.app[2]
f21,9,4,Nw_22.MX_9.app[4],12,10,Nw_22.MX_12.app[10]
f22,3,0,Nw_22.MX_3.app[0],6,10,Nw_22.MX_6.app[10]
f23,5,2,Nw_22.MX_5.app[2],12,11,Nw_22.MX_12.app[11]
f24,5,3,Nw_22.MX_5.app[3],12,12,Nw_22.MX_12.app[12]
f25,7,0,Nw_22.MX_7.app[0],12,13,Nw_22.MX_12.app[13]
f26,1,2,Nw_22.MX_1.app[2],12,14,Nw_22.MX_12.app[14]
f27,2,2,Nw_22.MX_2.app[2],3,2,Nw_22.MX_3.app[2]
f28,2,3,Nw_22.MX_2.app[3],11,1,Nw_22.MX_11.app[1]
f29,4,2,Nw_22.MX_4.app[2],6,11,Nw_22.MX_6.app[11]
f30,10,2,Nw_22.MX_10.app[2],12,15,Nw_22.MX_12.app[15]
f31,7,1,Nw_22.MX_7.app[1],11,2,Nw_22.MX_11.app[2]
f32,4,3,Nw_22.MX_4.app[3],11,3,Nw_22.MX_11.app[3]
f33,6,6,Nw_22.MX_6.app[6],9,8,Nw_22.MX_9.app[8]
f34,7,2,Nw_22.MX_7.app[2],10,5,Nw_22.MX_10.app[5]
f35,7,3,Nw_22.MX_7.app[3],11,4,Nw_22.MX_11.app[4]
f36,4,4,Nw_22.MX_4.app[4],10,6,Nw_22.MX_10.app[6]
f37,9,5,Nw_22.MX_9.app[5],12,16,Nw_22.MX_12.app[16]
f38,6,7,Nw_22.MX_6.app[7],12,17,Nw_22.MX_12.app[17]
f39,5,4,Nw_22.MX_5.app[4],6,12,Nw_22.MX_6.app[12]
f40,4,5,Nw_22.MX_4.app[5],6,13,Nw_22.MX_6.app[13]
f41,5,5,Nw_22.MX_5.app[5],10,7,Nw_22.MX_10.app[7]
