flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,6,0,Nw_6.MX_6.app[0],8,3,Nw_6.MX_8.app[3]
f1,11,0,Nw_6.MX_11.app[0],15,0,Nw_6.MX_15.app[0]
f2,10,0,Nw_6.MX_10.app[0],14,0,Nw_6.MX_14.app[0]
f3,8,0,Nw_6.MX_8.app[0],15,1,Nw_6.MX_15.app[1]
f4,8,1,Nw_6.MX_8.app[1],15,2,Nw_6.MX_15.app[2]
f5,9,0,Nw_6.MX_9.app[0],15,3,Nw_6.MX_15.app[3]
f6,12,0,Nw_6.MX_12.app[0],13,0,Nw_6.MX_13.app[0]
f7,4,0,Nw_6.MX_4.app[0],14,1,Nw_6.MX_14.app[1]
f8,2,0,Nw_6.MX_2.app[0],12,11,Nw_6.MX_12.app[11]
f9,12,1,Nw_6.MX_12.app[1],13,1,Nw_6.MX_13.app[1]
f10,6,1,Nw_6.MX_6.app[1],14,2,Nw_6.MX_14.app[2]
f11,11,1,Nw_6.MX_11.app[1],15,4,Nw_6.MX_15.app[4]
f12,1,0,Nw_6.MX_1.app[0],14,3,Nw_6.MX_14.app[3]
f13,11,2,Nw_6.MX_11.app[2],15,5,Nw_6.MX_15.app[5]
f14,9,1,Nw_6.MX_9.app[1],14,4,Nw_6.MX_14.app[4]
f15,2,1,Nw_6.MX_2.app[1],11,4,Nw_6.MX_11.app[4]
f16,12,2,Nw_6.MX_12.app[2],13,2,Nw_6.MX_13.app[2]
f17,12,3,Nw_6.MX_12.app[3],13,3,Nw_6.MX_13.app[3]
f18,4,1,Nw_6.MX_4.app[1],12,12,Nw_6.MX_12.app[12]
f19,12,4,Nw_6.MX_12.app[4],13,4,Nw_6.MX_13.app[4]
f20,12,5,Nw_6.MX_12.app[5],13,5,Nw_6.MX_13.app[5]
f21,1,1,Nw_6.MX_1.app[1],9,4,Nw_6.MX_9.app[4]
f22,11,3,Nw_6.MX_11.app[3],15,6,Nw_6.MX_15.app[6]
f23,12,6,Nw_6.MX_12.app[6],13,6,Nw_6.MX_13.app[6]
f24,12,7,Nw_6.MX_12.app[7],13,7,Nw_6.MX_13.app[7]
f25,1,2,Nw_6.MX_1.app[2],6,2,Nw_6.MX_6.app[2]
f26,1,3,Nw_6.MX_1.app[3],9,5,Nw_6.MX_9.app[5]
f27,12,8,Nw_6.MX_12.app[8],13,8,Nw_6.MX_13.app[8]
f28,7,0,Nw_6.MX_7.app[0],15,7,Nw_6.MX_15.app[7]
f29,12,9,Nw_6.MX_12.app[9],13,9,Nw_6.MX_13.app[9]
f30,4,2,Nw_6.MX_4.app[2],12,13,Nw_6.MX_12.app[13]
f31,10,1,Nw_6.MX_10.app[1],14,5,Nw_6.MX_14.app[5]
f32,4,3,Nw_6.MX_4.app[3],14,6,Nw_6.MX_14.app[6]
f33,1,4,Nw_6.MX_1.app[4],6,3,Nw_6.MX_6.app[3]
f34,7,1,Nw_6.MX_7.app[1],15,8,Nw_6.MX_15.app[8]
f35,9,2,Nw_6.MX_9.app[2],14,7,Nw_6.MX_14.app[7]
f36,9,3,Nw_6.MX_9.app[3],14,8,Nw_6.MX_14.app[8]
f37,10,2,Nw_6.MX_10.app[2],14,9,Nw_6.MX_14.app[9]
f38,10,3,Nw_6.MX_10.app[3],13,10,Nw_6.MX_13.app[10]
f39,12,10,Nw_6.MX_12.app[10],13,11,Nw_6.MX_13.app[11]
f40,4,4,Nw_6.MX_4.app[4],14,10,Nw_6.MX_14.app[10]
f41,8,2,Nw_6.MX_8.app[2],15,9,Nw_6.MX_15.app[9]
