flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,4,0,Nw_89.MX_4.app[0],10,0,Nw_89.MX_10.app[0]
f1,2,0,Nw_89.MX_2.app[0],10,1,Nw_89.MX_10.app[1]
f2,4,1,Nw_89.MX_4.app[1],10,2,Nw_89.MX_10.app[2]
f3,2,1,Nw_89.MX_2.app[1],7,0,Nw_89.MX_7.app[0]
f4,5,0,Nw_89.MX_5.app[0],9,0,Nw_89.MX_9.app[0]
f5,1,0,Nw_89.MX_1.app[0],6,2,Nw_89.MX_6.app[2]
f6,2,2,Nw_89.MX_2.app[2],6,3,Nw_89.MX_6.app[3]
f7,4,2,Nw_89.MX_4.app[2],6,4,Nw_89.MX_6.app[4]
f8,4,3,Nw_89.MX_4.app[3],10,3,Nw_89.MX_10.app[3]
f9,3,0,Nw_89.MX_3.app[0],10,4,Nw_89.MX_10.app[4]
f10,1,1,Nw_89.MX_1.app[1],6,5,Nw_89.MX_6.app[5]
f11,2,3,Nw_89.MX_2.app[3],5,1,Nw_89.MX_5.app[1]
f12,3,1,Nw_89.MX_3.app[1],9,1,Nw_89.MX_9.app[1]
f13,3,2,Nw_89.MX_3.app[2],10,5,Nw_89.MX_10.app[5]
f14,4,4,Nw_89.MX_4.app[4],10,6,Nw_89.MX_10.app[6]
f15,1,2,Nw_89.MX_1.app[2],10,7,Nw_89.MX_10.app[7]
f16,4,5,Nw_89.MX_4.app[5],10,8,Nw_89.MX_10.app[8]
f17,6,0,Nw_89.MX_6.app[0],9,2,Nw_89.MX_9.app[2]
f18,2,4,Nw_89.MX_2.app[4],6,6,Nw_89.MX_6.app[6]
f19,3,3,Nw_89.MX_3.app[3],7,1,Nw_89.MX_7.app[1]
f20,4,6,Nw_89.MX_4.app[6],10,9,Nw_89.MX_10.app[9]
f21,3,4,Nw_89.MX_3.app[4],10,10,Nw_89.MX_10.app[10]
f22,6,1,Nw_89.MX_6.app[1],8,0,Nw_89.MX_8.app[0]
f23,1,3,Nw_89.MX_1.app[3],7,2,Nw_89.MX_7.app[2]
f24,3,5,Nw_89.MX_3.app[5],5,2,Nw_89.MX_5.app[2]
f25,1,4,Nw_89.MX_1.app[4],5,3,Nw_89.MX_5.app[3]
f26,3,6,Nw_89.MX_3.app[6],6,7,Nw_89.MX_6.app[7]
f27,1,5,Nw_89.MX_1.app[5],10,11,Nw_89.MX_10.app[11]
f28,4,7,Nw_89.MX_4.app[7],10,12,Nw_89.MX_10.app[12]
