flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,10,0,Nw_68.MX_10.app[0],14,0,Nw_68.MX_14.app[0]
f1,10,1,Nw_68.MX_10.app[1],14,1,Nw_68.MX_14.app[1]
f2,9,0,Nw_68.MX_9.app[0],14,2,Nw_68.MX_14.app[2]
f3,9,1,Nw_68.MX_9.app[1],14,3,Nw_68.MX_14.app[3]
f4,1,0,Nw_68.MX_1.app[0],6,4,Nw_68.MX_6.app[4]
f5,1,1,Nw_68.MX_1.app[1],7,1,Nw_68.MX_7.app[1]
f6,3,0,Nw_68.MX_3.app[0],14,4,Nw_68.MX_14.app[4]
f7,5,0,Nw_68.MX_5.app[0],8,1,Nw_68.MX_8.app[1]
f8,1,2,Nw_68.MX_1.app[2],7,2,Nw_68.MX_7.app[2]
f9,2,0,Nw_68.MX_2.app[0],8,2,Nw_68.MX_8.app[2]
f10,6,0,Nw_68.MX_6.app[0],11,0,Nw_68.MX_11.app[0]
f11,10,2,Nw_68.MX_10.app[2],14,5,Nw_68.MX_14.app[5]
f12,6,1,Nw_68.MX_6.app[1],14,6,Nw_68.MX_14.app[6]
f13,3,1,Nw_68.MX_3.app[1],14,7,Nw_68.MX_14.app[7]
f14,5,1,Nw_68.MX_5.app[1],14,8,Nw_68.MX_14.app[8]
f15,4,0,Nw_68.MX_4.app[0],10,7,Nw_68.MX_10.app[7]
f16,1,3,Nw_68.MX_1.app[3],10,8,Nw_68.MX_10.app[8]
f17,9,2,Nw_68.MX_9.app[2],12,0,Nw_68.MX_12.app[0]
f18,8,0,Nw_68.MX_8.app[0],15,0,Nw_68.MX_15.app[0]
f19,6,2,Nw_68.MX_6.app[2],10,9,Nw_68.MX_10.app[9]
f20,1,4,Nw_68.MX_1.app[4],10,10,Nw_68.MX_10.app[10]
f21,10,3,Nw_68.MX_10.app[3],14,9,Nw_68.MX_14.app[9]
f22,1,5,Nw_68.MX_1.app[5],9,3,Nw_68.MX_9.app[3]
f23,10,4,Nw_68.MX_10.app[4],14,10,Nw_68.MX_14.app[10]
f24,3,2,Nw_68.MX_3.app[2],8,3,Nw_68.MX_8.app[3]
f25,10,5,Nw_68.MX_10.app[5],14,11,Nw_68.MX_14.app[11]
f26,3,3,Nw_68.MX_3.app[3],14,12,Nw_68.MX_14.app[12]
f27,5,2,Nw_68.MX_5.app[2],14,13,Nw_68.MX_14.app[13]
f28,6,3,Nw_68.MX_6.app[3],12,1,Nw_68.MX_12.app[1]
f29,1,6,Nw_68.MX_1.app[6],9,4,Nw_68.MX_9.app[4]
f30,7,0,Nw_68.MX_7.app[0],10,11,Nw_68.MX_10.app[11]
f31,5,3,Nw_68.MX_5.app[3],14,14,Nw_68.MX_14.app[14]
f32,4,1,Nw_68.MX_4.app[1],14,15,Nw_68.MX_14.app[15]
f33,10,6,Nw_68.MX_10.app[6],14,16,Nw_68.MX_14.app[16]
