flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,10,0,Nw_46.MX_10.app[0],13,0,Nw_46.MX_13.app[0]
f1,11,0,Nw_46.MX_11.app[0],13,1,Nw_46.MX_13.app[1]
f2,10,1,Nw_46.MX_10.app[1],12,0,Nw_46.MX_12.app[0]
f3,7,0,Nw_46.MX_7.app[0],9,1,Nw_46.MX_9.app[1]
f4,5,0,Nw_46.MX_5.app[0],11,6,Nw_46.MX_11.app[6]
f5,1,0,Nw_46.MX_1.app[0],12,1,Nw_46.MX_12.app[1]
f6,4,0,Nw_46.MX_4.app[0],11,7,Nw_46.MX_11.app[7]
f7,7,1,Nw_46.MX_7.app[1],9,2,Nw_46.MX_9.app[2]
f8,11,1,Nw_46.MX_11.app[1],13,2,Nw_46.MX_13.app[2]
f9,3,0,Nw_46.MX_3.app[0],6,3,Nw_46.MX_6.app[3]
f10,6,0,Nw_46.MX_6.app[0],13,3,Nw_46.MX_13.app[3]
f11,11,2,Nw_46.MX_11.app[2],12,2,Nw_46.MX_12.app[2]
f12,7,2,Nw_46.MX_7.app[2],13,4,Nw_46.MX_13.app[4]
f13,10,2,Nw_46.MX_10.app[2],13,5,Nw_46.MX_13.app[5]
f14,6,1,Nw_46.MX_6.app[1],10,4,Nw_46.MX_10.app[4]
f15,11,3,Nw_46.MX_11.app[3],13,6,Nw_46.MX_13.app[6]
f16,10,3,Nw_46.MX_10.app[3],12,3,Nw_46.MX_12.app[3]
f17,5,1,Nw_46.MX_5.app[1],9,3,Nw_46.MX_9.app[3]
f18,1,1,Nw_46.MX_1.app[1],7,5,Nw_46.MX_7.app[5]
f19,6,2,Nw_46.MX_6.app[2],11,8,Nw_46.MX_11.app[8]
f20,9,0,Nw_46.MX_9.app[0],13,7,Nw_46.MX_13.app[7]
f21,5,2,Nw_46.MX_5.app[2],13,8,Nw_46.MX_13.app[8]
f22,7,3,Nw_46.MX_7.app[3],12,4,Nw_46.MX_12.app[4]
f23,7,4,Nw_46.MX_7.app[4],11,9,Nw_46.MX_11.app[9]
f24,8,0,Nw_46.MX_8.app[0],13,9,Nw_46.MX_13.app[9]
f25,11,4,Nw_46.MX_11.app[4],12,5,Nw_46.MX_12.app[5]
f26,5,3,Nw_46.MX_5.app[3],11,10,Nw_46.MX_11.app[10]
f27,5,4,Nw_46.MX_5.app[4],9,4,Nw_46.MX_9.app[4]
f28,11,5,Nw_46.MX_11.app[5],13,10,Nw_46.MX_13.app[10]
f29,3,1,Nw_46.MX_3.app[1],6,4,Nw_46.MX_6.app[4]
