ntype,flow_rate,flow_gamma_shape_scale,hvnet_link_rate,omnet_link_rate,flow_latency_percentiles_omnet,baseline
0.3162208156192444,0.3202087614115969,0.3074106697525022,0.3074154012200582,0.30741540962401415,0.3680085489221996,0.30741539152402625
0.31308270012700257,0.3197274109246787,0.3076040420471076,0.30741540771441656,0.30741540203836404,0.36600270539862484,0.30741539152402625
0.31887624470458065,0.3158890482804749,0.30736848497307745,0.3074154186829488,0.30741541987181364,0.3668118388308194,0.30741539152402625
0.3097270318034811,0.32127936726501255,0.30739267758281447,0.3074154142314726,0.3074154148351997,0.3739106292777882,0.30741539152402625
0.3062650155368417,0.3207579014967824,0.3074944716971189,0.30741540449390936,0.3074154048196618,0.37410590907571284,0.30741539152402625
0.3123602593177953,0.3174305859207989,0.30738562757095683,0.3074154011286116,0.30741541634953357,0.38728011938193635,0.30741539152402625
0.311017982667125,0.31991165439084734,0.3073828996876121,0.3074154083569835,0.3074154127559833,0.3725606020373969,0.30741539152402625
0.3140025228184316,0.3210911399705831,0.307768929689059,0.30741540420664143,0.30741540620406255,0.38615326143290196,0.30741539152402625
0.3193498910182496,0.3133842707299118,0.30801915369529437,0.3074153947065717,0.3074154089277778,0.3878801331019453,0.30741539152402625
0.3044894035774266,0.31798718272564735,0.3069609013792958,0.30741540226718694,0.30741538996356843,0.3664996259899893,0.30741539152402625
0.31813703316380765,0.3140782838231738,0.3077007414096522,0.30741540195135514,0.30741540590742344,0.34995321235166493,0.30741539152402625
0.3091641201240039,0.3133978619976779,0.3078176985755837,0.30741541294476343,0.3074153857243564,0.3638405061194871,0.30741539152402625
0.302436105484166,0.3211504296394384,0.30793398972465147,0.3074154052568949,0.3074154136671161,0.37154156086493073,0.30741539152402625
0.3067045230572819,0.32113034662537643,0.3071583410410158,0.30741539833754034,0.3074153870492726,0.3521073550717575,0.30741539152402625
0.3035435906699805,0.31947366301117525,0.3080653760931196,0.30741541440029585,0.3074154099396835,0.3897258211945428,0.30741539152402625
0.30310252889005895,0.3214520576125253,0.3075495023218875,0.3074153947799164,0.30741541640381514,0.38549410164800724,0.30741539152402625
0.3028267101425999,0.3198264830208063,0.3073312519759819,0.30741541046689436,0.3074154075721479,0.37757745459886793,0.30741539152402625
0.3092397836866099,0.3201585356385624,0.3074709223562714,0.30741541927907984,0.30741541355504165,0.3932906078857001,0.30741539152402625
0.3172958285303915,0.3134137004573804,0.30772398288291136,0.30741540812634355,0.3074153852880078,0.3586617803755703,0.30741539152402625
0.3123456863525974,0.3175665645834807,0.30757361657120147,0.30741542787074694,0.3074154234349181,0.3550942879253679,0.30741539152402625
0.3091313573030955,0.31610683016016317,0.30734615366687007,0.3074153930848826,0.3074154129691088,0.390111284285068,0.30741539152402625
0.30768498777087105,0.3179409708611254,0.3074973019533741,0.3074154068471605,0.3074154228166339,0.38167650883385307,0.30741539152402625
0.30435151055652837,0.3214969284958343,0.3071279044538398,0.30741540405818435,0.30741538981535965,0.3770690949350462,0.30741539152402625
0.31327916195539784,0.31437969663262055,0.30760915938103267,0.3074153942652521,0.30741540729293765,0.36314738094671656,0.30741539152402625
0.3099002180205186,0.3133375707207581,0.3070331116205049,0.3074154035640483,0.30741540359304687,0.36088128003708964,0.30741539152402625
0.3036472145646988,0.31694798964586013,0.3072360557323256,0.30741542039733594,0.3074154162959458,0.35301232855196635,0.30741539152402625
0.3067684052245977,0.32124754421152224,0.3075093912641693,0.30741540860916233,0.3074154036325562,0.39156565274841076,0.30741539152402625
0.3103922712581447,0.3175220657271092,0.3070638925472738,0.30741541781445003,0.30741541584582993,0.36792515638024004,0.30741539152402625
0.32278195533263665,0.32462235975504644,0.3071716001360635,0.30741539559313136,0.3074154122570683,0.3613315566833711,0.30741539152402625
0.3082365503890645,0.3226129465706816,0.3072295737505967,0.30741541618503554,0.30741539454446165,0.37543435047884016,0.30741539152402625
0.30191811722809864,0.31775988030558994,0.3075671382269391,0.3074154118972611,0.3074153977575618,0.3797150026027032,0.30741539152402625
0.30279895532058915,0.31930609321699693,0.30709493646129105,0.30741540495760533,0.3074153973431327,0.3505161629578793,0.30741539152402625
0.2993055369367322,0.31724626782616494,0.3077103824676616,0.3074154005129189,0.30741542849590764,0.3736976898325891,0.30741539152402625
0.3128660508900506,0.31950226437259366,0.307771130373935,0.3074154028415784,0.30741540964573116,0.36398533933826693,0.30741539152402625
0.3141997463377695,0.3140381350041256,0.30749897634696705,0.307415413303728,0.3074154214795023,0.3658151754394313,0.30741539152402625
0.3074311977526216,0.3218349199195625,0.30736624024781445,0.3074153868177621,0.30741540853857663,0.37326962468406855,0.30741539152402625
0.30650932571026396,0.3173303927789313,0.308216543636676,0.30741540593464606,0.3074153973867001,0.37574359658513556,0.30741539152402625
0.3072872146011273,0.3203176755634085,0.3077149219333389,0.30741539367070425,0.3074153985887466,0.3626809206087601,0.30741539152402625
0.32167802371064097,0.32204204833940775,0.30696025371963065,0.30741541390134874,0.3074153868645513,0.3851942599634604,0.30741539152402625
0.3152516327414441,0.31765007469389067,0.30794807484729836,0.3074154100519529,0.30741540562389974,0.34929185345610525,0.30741539152402625
