flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,7,0,Nw_41.MX_7.app[0],8,0,Nw_41.MX_8.app[0]
f1,3,0,Nw_41.MX_3.app[0],8,1,Nw_41.MX_8.app[1]
f2,3,1,Nw_41.MX_3.app[1],8,2,Nw_41.MX_8.app[2]
f3,3,2,Nw_41.MX_3.app[2],8,3,Nw_41.MX_8.app[3]
f4,5,0,Nw_41.MX_5.app[0],7,6,Nw_41.MX_7.app[6]
f5,2,0,Nw_41.MX_2.app[0],5,2,Nw_41.MX_5.app[2]
f6,7,1,Nw_41.MX_7.app[1],8,4,Nw_41.MX_8.app[4]
f7,3,3,Nw_41.MX_3.app[3],7,7,Nw_41.MX_7.app[7]
f8,7,2,Nw_41.MX_7.app[2],8,5,Nw_41.MX_8.app[5]
f9,2,1,Nw_41.MX_2.app[1],7,8,Nw_41.MX_7.app[8]
f10,3,4,Nw_41.MX_3.app[4],5,3,Nw_41.MX_5.app[3]
f11,4,0,Nw_41.MX_4.app[0],7,9,Nw_41.MX_7.app[9]
f12,2,2,Nw_41.MX_2.app[2],8,6,Nw_41.MX_8.app[6]
f13,4,1,Nw_41.MX_4.app[1],8,7,Nw_41.MX_8.app[7]
f14,4,2,Nw_41.MX_4.app[2],7,10,Nw_41.MX_7.app[10]
f15,4,3,Nw_41.MX_4.app[3],6,0,Nw_41.MX_6.app[0]
f16,3,5,Nw_41.MX_3.app[5],8,8,Nw_41.MX_8.app[8]
f17,4,4,Nw_41.MX_4.app[4],8,9,Nw_41.MX_8.app[9]
f18,4,5,Nw_41.MX_4.app[5],5,4,Nw_41.MX_5.app[4]
f19,7,3,Nw_41.MX_7.app[3],8,10,Nw_41.MX_8.app[10]
f20,2,3,Nw_41.MX_2.app[3],7,11,Nw_41.MX_7.app[11]
f21,4,6,Nw_41.MX_4.app[6],8,11,Nw_41.MX_8.app[11]
f22,7,4,Nw_41.MX_7.app[4],8,12,Nw_41.MX_8.app[12]
f23,7,5,Nw_41.MX_7.app[5],8,13,Nw_41.MX_8.app[13]
f24,3,6,Nw_41.MX_3.app[6],5,5,Nw_41.MX_5.app[5]
f25,5,1,Nw_41.MX_5.app[1],7,12,Nw_41.MX_7.app[12]
f26,4,7,Nw_41.MX_4.app[7],8,14,Nw_41.MX_8.app[14]
