flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,6,0,Nw_87.MX_6.app[0],13,0,Nw_87.MX_13.app[0]
f1,8,0,Nw_87.MX_8.app[0],11,1,Nw_87.MX_11.app[1]
f2,9,0,Nw_87.MX_9.app[0],13,1,Nw_87.MX_13.app[1]
f3,4,0,Nw_87.MX_4.app[0],13,2,Nw_87.MX_13.app[2]
f4,6,1,Nw_87.MX_6.app[1],11,2,Nw_87.MX_11.app[2]
f5,8,1,Nw_87.MX_8.app[1],13,3,Nw_87.MX_13.app[3]
f6,5,0,Nw_87.MX_5.app[0],13,4,Nw_87.MX_13.app[4]
f7,1,0,Nw_87.MX_1.app[0],6,4,Nw_87.MX_6.app[4]
f8,8,2,Nw_87.MX_8.app[2],13,5,Nw_87.MX_13.app[5]
f9,9,1,Nw_87.MX_9.app[1],13,6,Nw_87.MX_13.app[6]
f10,9,2,Nw_87.MX_9.app[2],13,7,Nw_87.MX_13.app[7]
f11,4,1,Nw_87.MX_4.app[1],13,8,Nw_87.MX_13.app[8]
f12,6,2,Nw_87.MX_6.app[2],13,9,Nw_87.MX_13.app[9]
f13,5,1,Nw_87.MX_5.app[1],13,10,Nw_87.MX_13.app[10]
f14,2,0,Nw_87.MX_2.app[0],6,5,Nw_87.MX_6.app[5]
f15,8,3,Nw_87.MX_8.app[3],13,11,Nw_87.MX_13.app[11]
f16,2,1,Nw_87.MX_2.app[1],3,4,Nw_87.MX_3.app[4]
f17,8,4,Nw_87.MX_8.app[4],9,6,Nw_87.MX_9.app[6]
f18,3,0,Nw_87.MX_3.app[0],13,12,Nw_87.MX_13.app[12]
f19,3,1,Nw_87.MX_3.app[1],13,13,Nw_87.MX_13.app[13]
f20,4,2,Nw_87.MX_4.app[2],13,14,Nw_87.MX_13.app[14]
f21,9,3,Nw_87.MX_9.app[3],13,15,Nw_87.MX_13.app[15]
f22,11,0,Nw_87.MX_11.app[0],13,16,Nw_87.MX_13.app[16]
f23,6,3,Nw_87.MX_6.app[3],13,17,Nw_87.MX_13.app[17]
f24,3,2,Nw_87.MX_3.app[2],6,6,Nw_87.MX_6.app[6]
f25,1,1,Nw_87.MX_1.app[1],3,5,Nw_87.MX_3.app[5]
f26,9,4,Nw_87.MX_9.app[4],12,0,Nw_87.MX_12.app[0]
f27,9,5,Nw_87.MX_9.app[5],13,18,Nw_87.MX_13.app[18]
f28,2,2,Nw_87.MX_2.app[2],13,19,Nw_87.MX_13.app[19]
f29,3,3,Nw_87.MX_3.app[3],9,7,Nw_87.MX_9.app[7]
