flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,4,0,Nw_94.MX_4.app[0],10,3,Nw_94.MX_10.app[3]
f1,4,1,Nw_94.MX_4.app[1],10,4,Nw_94.MX_10.app[4]
f2,7,0,Nw_94.MX_7.app[0],13,0,Nw_94.MX_13.app[0]
f3,8,0,Nw_94.MX_8.app[0],11,0,Nw_94.MX_11.app[0]
f4,3,0,Nw_94.MX_3.app[0],12,5,Nw_94.MX_12.app[5]
f5,7,1,Nw_94.MX_7.app[1],13,1,Nw_94.MX_13.app[1]
f6,9,0,Nw_94.MX_9.app[0],13,2,Nw_94.MX_13.app[2]
f7,12,0,Nw_94.MX_12.app[0],13,3,Nw_94.MX_13.app[3]
f8,6,0,Nw_94.MX_6.app[0],11,1,Nw_94.MX_11.app[1]
f9,12,1,Nw_94.MX_12.app[1],13,4,Nw_94.MX_13.app[4]
f10,2,0,Nw_94.MX_2.app[0],10,5,Nw_94.MX_10.app[5]
f11,2,1,Nw_94.MX_2.app[1],12,6,Nw_94.MX_12.app[6]
f12,4,2,Nw_94.MX_4.app[2],8,3,Nw_94.MX_8.app[3]
f13,8,1,Nw_94.MX_8.app[1],13,5,Nw_94.MX_13.app[5]
f14,2,2,Nw_94.MX_2.app[2],5,4,Nw_94.MX_5.app[4]
f15,2,3,Nw_94.MX_2.app[3],13,6,Nw_94.MX_13.app[6]
f16,3,1,Nw_94.MX_3.app[1],13,7,Nw_94.MX_13.app[7]
f17,3,2,Nw_94.MX_3.app[2],13,8,Nw_94.MX_13.app[8]
f18,6,1,Nw_94.MX_6.app[1],11,2,Nw_94.MX_11.app[2]
f19,3,3,Nw_94.MX_3.app[3],7,3,Nw_94.MX_7.app[3]
f20,9,1,Nw_94.MX_9.app[1],12,7,Nw_94.MX_12.app[7]
f21,3,4,Nw_94.MX_3.app[4],13,9,Nw_94.MX_13.app[9]
f22,1,0,Nw_94.MX_1.app[0],11,3,Nw_94.MX_11.app[3]
f23,3,5,Nw_94.MX_3.app[5],13,10,Nw_94.MX_13.app[10]
f24,8,2,Nw_94.MX_8.app[2],13,11,Nw_94.MX_13.app[11]
f25,5,0,Nw_94.MX_5.app[0],13,12,Nw_94.MX_13.app[12]
f26,10,0,Nw_94.MX_10.app[0],13,13,Nw_94.MX_13.app[13]
f27,7,2,Nw_94.MX_7.app[2],13,14,Nw_94.MX_13.app[14]
f28,5,1,Nw_94.MX_5.app[1],9,2,Nw_94.MX_9.app[2]
f29,3,6,Nw_94.MX_3.app[6],8,4,Nw_94.MX_8.app[4]
f30,6,2,Nw_94.MX_6.app[2],11,4,Nw_94.MX_11.app[4]
f31,6,3,Nw_94.MX_6.app[3],11,5,Nw_94.MX_11.app[5]
f32,12,2,Nw_94.MX_12.app[2],13,15,Nw_94.MX_13.app[15]
f33,12,3,Nw_94.MX_12.app[3],13,16,Nw_94.MX_13.app[16]
f34,3,7,Nw_94.MX_3.app[7],13,17,Nw_94.MX_13.app[17]
f35,12,4,Nw_94.MX_12.app[4],13,18,Nw_94.MX_13.app[18]
f36,10,1,Nw_94.MX_10.app[1],13,19,Nw_94.MX_13.app[19]
f37,6,4,Nw_94.MX_6.app[4],11,6,Nw_94.MX_11.app[6]
f38,2,4,Nw_94.MX_2.app[4],4,3,Nw_94.MX_4.app[3]
f39,10,2,Nw_94.MX_10.app[2],13,20,Nw_94.MX_13.app[20]
f40,5,2,Nw_94.MX_5.app[2],13,21,Nw_94.MX_13.app[21]
f41,5,3,Nw_94.MX_5.app[3],8,5,Nw_94.MX_8.app[5]
