flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,10,0,Nw_24.MX_10.app[0],14,0,Nw_24.MX_14.app[0]
f1,5,0,Nw_24.MX_5.app[0],14,1,Nw_24.MX_14.app[1]
f2,9,0,Nw_24.MX_9.app[0],12,0,Nw_24.MX_12.app[0]
f3,5,1,Nw_24.MX_5.app[1],14,2,Nw_24.MX_14.app[2]
f4,5,2,Nw_24.MX_5.app[2],12,1,Nw_24.MX_12.app[1]
f5,4,0,Nw_24.MX_4.app[0],5,4,Nw_24.MX_5.app[4]
f6,11,0,Nw_24.MX_11.app[0],14,3,Nw_24.MX_14.app[3]
f7,10,1,Nw_24.MX_10.app[1],13,0,Nw_24.MX_13.app[0]
f8,11,1,Nw_24.MX_11.app[1],14,4,Nw_24.MX_14.app[4]
f9,10,2,Nw_24.MX_10.app[2],13,1,Nw_24.MX_13.app[1]
f10,4,1,Nw_24.MX_4.app[1],8,5,Nw_24.MX_8.app[5]
f11,8,0,Nw_24.MX_8.app[0],9,3,Nw_24.MX_9.app[3]
f12,2,0,Nw_24.MX_2.app[0],14,5,Nw_24.MX_14.app[5]
f13,11,2,Nw_24.MX_11.app[2],12,2,Nw_24.MX_12.app[2]
f14,3,0,Nw_24.MX_3.app[0],14,6,Nw_24.MX_14.app[6]
f15,11,3,Nw_24.MX_11.app[3],14,7,Nw_24.MX_14.app[7]
f16,5,3,Nw_24.MX_5.app[3],12,3,Nw_24.MX_12.app[3]
f17,11,4,Nw_24.MX_11.app[4],14,8,Nw_24.MX_14.app[8]
f18,8,1,Nw_24.MX_8.app[1],9,4,Nw_24.MX_9.app[4]
f19,6,0,Nw_24.MX_6.app[0],14,9,Nw_24.MX_14.app[9]
f20,3,1,Nw_24.MX_3.app[1],12,4,Nw_24.MX_12.app[4]
f21,4,2,Nw_24.MX_4.app[2],9,5,Nw_24.MX_9.app[5]
f22,2,1,Nw_24.MX_2.app[1],14,10,Nw_24.MX_14.app[10]
f23,10,3,Nw_24.MX_10.app[3],14,11,Nw_24.MX_14.app[11]
f24,6,1,Nw_24.MX_6.app[1],12,5,Nw_24.MX_12.app[5]
f25,8,2,Nw_24.MX_8.app[2],14,12,Nw_24.MX_14.app[12]
f26,7,0,Nw_24.MX_7.app[0],12,6,Nw_24.MX_12.app[6]
f27,3,2,Nw_24.MX_3.app[2],14,13,Nw_24.MX_14.app[13]
f28,6,2,Nw_24.MX_6.app[2],14,14,Nw_24.MX_14.app[14]
f29,9,1,Nw_24.MX_9.app[1],12,7,Nw_24.MX_12.app[7]
f30,8,3,Nw_24.MX_8.app[3],14,15,Nw_24.MX_14.app[15]
f31,4,3,Nw_24.MX_4.app[3],5,5,Nw_24.MX_5.app[5]
f32,6,3,Nw_24.MX_6.app[3],11,7,Nw_24.MX_11.app[7]
f33,7,1,Nw_24.MX_7.app[1],14,16,Nw_24.MX_14.app[16]
f34,11,5,Nw_24.MX_11.app[5],14,17,Nw_24.MX_14.app[17]
f35,2,2,Nw_24.MX_2.app[2],7,3,Nw_24.MX_7.app[3]
f36,1,0,Nw_24.MX_1.app[0],7,4,Nw_24.MX_7.app[4]
f37,4,4,Nw_24.MX_4.app[4],14,18,Nw_24.MX_14.app[18]
f38,11,6,Nw_24.MX_11.app[6],14,19,Nw_24.MX_14.app[19]
f39,4,5,Nw_24.MX_4.app[5],12,8,Nw_24.MX_12.app[8]
f40,8,4,Nw_24.MX_8.app[4],14,20,Nw_24.MX_14.app[20]
f41,3,3,Nw_24.MX_3.app[3],5,6,Nw_24.MX_5.app[6]
f42,3,4,Nw_24.MX_3.app[4],8,6,Nw_24.MX_8.app[6]
f43,9,2,Nw_24.MX_9.app[2],12,9,Nw_24.MX_12.app[9]
f44,10,4,Nw_24.MX_10.app[4],14,21,Nw_24.MX_14.app[21]
f45,7,2,Nw_24.MX_7.app[2],12,10,Nw_24.MX_12.app[10]
