flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,8,0,Nw_28.MX_8.app[0],11,0,Nw_28.MX_11.app[0]
f1,1,0,Nw_28.MX_1.app[0],6,2,Nw_28.MX_6.app[2]
f2,5,0,Nw_28.MX_5.app[0],10,0,Nw_28.MX_10.app[0]
f3,3,0,Nw_28.MX_3.app[0],11,1,Nw_28.MX_11.app[1]
f4,5,1,Nw_28.MX_5.app[1],9,3,Nw_28.MX_9.app[3]
f5,3,1,Nw_28.MX_3.app[1],7,2,Nw_28.MX_7.app[2]
f6,4,0,Nw_28.MX_4.app[0],7,3,Nw_28.MX_7.app[3]
f7,5,2,Nw_28.MX_5.app[2],11,2,Nw_28.MX_11.app[2]
f8,5,3,Nw_28.MX_5.app[3],9,4,Nw_28.MX_9.app[4]
f9,2,0,Nw_28.MX_2.app[0],11,3,Nw_28.MX_11.app[3]
f10,2,1,Nw_28.MX_2.app[1],11,4,Nw_28.MX_11.app[4]
f11,6,0,Nw_28.MX_6.app[0],7,4,Nw_28.MX_7.app[4]
f12,8,1,Nw_28.MX_8.app[1],11,5,Nw_28.MX_11.app[5]
f13,2,2,Nw_28.MX_2.app[2],11,6,Nw_28.MX_11.app[6]
f14,9,0,Nw_28.MX_9.app[0],11,7,Nw_28.MX_11.app[7]
f15,9,1,Nw_28.MX_9.app[1],11,8,Nw_28.MX_11.app[8]
f16,7,0,Nw_28.MX_7.app[0],11,9,Nw_28.MX_11.app[9]
f17,9,2,Nw_28.MX_9.app[2],10,1,Nw_28.MX_10.app[1]
f18,4,1,Nw_28.MX_4.app[1],7,5,Nw_28.MX_7.app[5]
f19,6,1,Nw_28.MX_6.app[1],7,6,Nw_28.MX_7.app[6]
f20,7,1,Nw_28.MX_7.app[1],11,10,Nw_28.MX_11.app[10]
f21,3,2,Nw_28.MX_3.app[2],7,7,Nw_28.MX_7.app[7]
f22,3,3,Nw_28.MX_3.app[3],11,11,Nw_28.MX_11.app[11]
f23,2,3,Nw_28.MX_2.app[3],11,12,Nw_28.MX_11.app[12]
