flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,1,0,Nw_16.MX_1.app[0],9,0,Nw_16.MX_9.app[0]
f1,10,0,Nw_16.MX_10.app[0],11,0,Nw_16.MX_11.app[0]
f2,8,0,Nw_16.MX_8.app[0],11,1,Nw_16.MX_11.app[1]
f3,3,0,Nw_16.MX_3.app[0],9,1,Nw_16.MX_9.app[1]
f4,1,1,Nw_16.MX_1.app[1],11,2,Nw_16.MX_11.app[2]
f5,10,1,Nw_16.MX_10.app[1],11,3,Nw_16.MX_11.app[3]
f6,5,0,Nw_16.MX_5.app[0],9,2,Nw_16.MX_9.app[2]
f7,1,2,Nw_16.MX_1.app[2],11,4,Nw_16.MX_11.app[4]
f8,8,1,Nw_16.MX_8.app[1],11,5,Nw_16.MX_11.app[5]
f9,6,0,Nw_16.MX_6.app[0],11,6,Nw_16.MX_11.app[6]
f10,8,2,Nw_16.MX_8.app[2],11,7,Nw_16.MX_11.app[7]
f11,3,1,Nw_16.MX_3.app[1],11,8,Nw_16.MX_11.app[8]
f12,5,1,Nw_16.MX_5.app[1],11,9,Nw_16.MX_11.app[9]
f13,2,0,Nw_16.MX_2.app[0],6,1,Nw_16.MX_6.app[1]
f14,1,3,Nw_16.MX_1.app[3],11,10,Nw_16.MX_11.app[10]
f15,8,3,Nw_16.MX_8.app[3],10,7,Nw_16.MX_10.app[7]
f16,10,2,Nw_16.MX_10.app[2],11,11,Nw_16.MX_11.app[11]
f17,3,2,Nw_16.MX_3.app[2],4,1,Nw_16.MX_4.app[1]
f18,10,3,Nw_16.MX_10.app[3],11,12,Nw_16.MX_11.app[12]
f19,1,4,Nw_16.MX_1.app[4],8,5,Nw_16.MX_8.app[5]
f20,10,4,Nw_16.MX_10.app[4],11,13,Nw_16.MX_11.app[13]
f21,1,5,Nw_16.MX_1.app[5],8,6,Nw_16.MX_8.app[6]
f22,10,5,Nw_16.MX_10.app[5],11,14,Nw_16.MX_11.app[14]
f23,8,4,Nw_16.MX_8.app[4],11,15,Nw_16.MX_11.app[15]
f24,10,6,Nw_16.MX_10.app[6],11,16,Nw_16.MX_11.app[16]
f25,5,2,Nw_16.MX_5.app[2],11,17,Nw_16.MX_11.app[17]
f26,4,0,Nw_16.MX_4.app[0],9,3,Nw_16.MX_9.app[3]
f27,2,1,Nw_16.MX_2.app[1],5,3,Nw_16.MX_5.app[3]
