flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,5,0,Nw_74.MX_5.app[0],12,0,Nw_74.MX_12.app[0]
f1,1,0,Nw_74.MX_1.app[0],5,5,Nw_74.MX_5.app[5]
f2,7,0,Nw_74.MX_7.app[0],12,1,Nw_74.MX_12.app[1]
f3,1,1,Nw_74.MX_1.app[1],9,2,Nw_74.MX_9.app[2]
f4,8,0,Nw_74.MX_8.app[0],12,2,Nw_74.MX_12.app[2]
f5,4,0,Nw_74.MX_4.app[0],12,3,Nw_74.MX_12.app[3]
f6,9,0,Nw_74.MX_9.app[0],12,4,Nw_74.MX_12.app[4]
f7,3,0,Nw_74.MX_3.app[0],12,5,Nw_74.MX_12.app[5]
f8,3,1,Nw_74.MX_3.app[1],12,6,Nw_74.MX_12.app[6]
f9,5,1,Nw_74.MX_5.app[1],11,7,Nw_74.MX_11.app[7]
f10,4,1,Nw_74.MX_4.app[1],12,7,Nw_74.MX_12.app[7]
f11,11,0,Nw_74.MX_11.app[0],12,8,Nw_74.MX_12.app[8]
f12,4,2,Nw_74.MX_4.app[2],12,9,Nw_74.MX_12.app[9]
f13,7,1,Nw_74.MX_7.app[1],12,10,Nw_74.MX_12.app[10]
f14,9,1,Nw_74.MX_9.app[1],12,11,Nw_74.MX_12.app[11]
f15,6,0,Nw_74.MX_6.app[0],12,12,Nw_74.MX_12.app[12]
f16,3,2,Nw_74.MX_3.app[2],12,13,Nw_74.MX_12.app[13]
f17,11,1,Nw_74.MX_11.app[1],12,14,Nw_74.MX_12.app[14]
f18,5,2,Nw_74.MX_5.app[2],7,6,Nw_74.MX_7.app[6]
f19,4,3,Nw_74.MX_4.app[3],11,8,Nw_74.MX_11.app[8]
f20,7,2,Nw_74.MX_7.app[2],12,15,Nw_74.MX_12.app[15]
f21,5,3,Nw_74.MX_5.app[3],10,0,Nw_74.MX_10.app[0]
f22,11,2,Nw_74.MX_11.app[2],12,16,Nw_74.MX_12.app[16]
f23,11,3,Nw_74.MX_11.app[3],12,17,Nw_74.MX_12.app[17]
f24,3,3,Nw_74.MX_3.app[3],12,18,Nw_74.MX_12.app[18]
f25,7,3,Nw_74.MX_7.app[3],12,19,Nw_74.MX_12.app[19]
f26,6,1,Nw_74.MX_6.app[1],12,20,Nw_74.MX_12.app[20]
f27,11,4,Nw_74.MX_11.app[4],12,21,Nw_74.MX_12.app[21]
f28,7,4,Nw_74.MX_7.app[4],12,22,Nw_74.MX_12.app[22]
f29,11,5,Nw_74.MX_11.app[5],12,23,Nw_74.MX_12.app[23]
f30,8,1,Nw_74.MX_8.app[1],12,24,Nw_74.MX_12.app[24]
f31,5,4,Nw_74.MX_5.app[4],11,9,Nw_74.MX_11.app[9]
f32,11,6,Nw_74.MX_11.app[6],12,25,Nw_74.MX_12.app[25]
f33,4,4,Nw_74.MX_4.app[4],12,26,Nw_74.MX_12.app[26]
f34,4,5,Nw_74.MX_4.app[5],6,2,Nw_74.MX_6.app[2]
f35,1,2,Nw_74.MX_1.app[2],7,7,Nw_74.MX_7.app[7]
f36,7,5,Nw_74.MX_7.app[5],12,27,Nw_74.MX_12.app[27]
