flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,5,0,Nw_30.MX_5.app[0],8,0,Nw_30.MX_8.app[0]
f1,2,0,Nw_30.MX_2.app[0],8,1,Nw_30.MX_8.app[1]
f2,4,0,Nw_30.MX_4.app[0],9,0,Nw_30.MX_9.app[0]
f3,1,0,Nw_30.MX_1.app[0],10,0,Nw_30.MX_10.app[0]
f4,2,1,Nw_30.MX_2.app[1],8,2,Nw_30.MX_8.app[2]
f5,3,0,Nw_30.MX_3.app[0],7,0,Nw_30.MX_7.app[0]
f6,2,2,Nw_30.MX_2.app[2],8,3,Nw_30.MX_8.app[3]
f7,4,1,Nw_30.MX_4.app[1],8,4,Nw_30.MX_8.app[4]
f8,1,1,Nw_30.MX_1.app[1],9,1,Nw_30.MX_9.app[1]
f9,3,1,Nw_30.MX_3.app[1],6,0,Nw_30.MX_6.app[0]
f10,4,2,Nw_30.MX_4.app[2],9,2,Nw_30.MX_9.app[2]
f11,5,1,Nw_30.MX_5.app[1],8,5,Nw_30.MX_8.app[5]
f12,5,2,Nw_30.MX_5.app[2],8,6,Nw_30.MX_8.app[6]
f13,3,2,Nw_30.MX_3.app[2],7,1,Nw_30.MX_7.app[1]
f14,3,3,Nw_30.MX_3.app[3],7,2,Nw_30.MX_7.app[2]
f15,4,3,Nw_30.MX_4.app[3],9,3,Nw_30.MX_9.app[3]
f16,3,4,Nw_30.MX_3.app[4],6,1,Nw_30.MX_6.app[1]
f17,5,3,Nw_30.MX_5.app[3],8,7,Nw_30.MX_8.app[7]
f18,3,5,Nw_30.MX_3.app[5],7,3,Nw_30.MX_7.app[3]
f19,2,3,Nw_30.MX_2.app[3],8,8,Nw_30.MX_8.app[8]
f20,3,6,Nw_30.MX_3.app[6],7,4,Nw_30.MX_7.app[4]
f21,3,7,Nw_30.MX_3.app[7],7,5,Nw_30.MX_7.app[5]
f22,4,4,Nw_30.MX_4.app[4],9,4,Nw_30.MX_9.app[4]
f23,2,4,Nw_30.MX_2.app[4],8,9,Nw_30.MX_8.app[9]
f24,5,4,Nw_30.MX_5.app[4],10,1,Nw_30.MX_10.app[1]
f25,1,2,Nw_30.MX_1.app[2],10,2,Nw_30.MX_10.app[2]
f26,4,5,Nw_30.MX_4.app[5],10,3,Nw_30.MX_10.app[3]
f27,1,3,Nw_30.MX_1.app[3],10,4,Nw_30.MX_10.app[4]
f28,2,5,Nw_30.MX_2.app[5],6,2,Nw_30.MX_6.app[2]
