flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,8,0,Nw_64.MX_8.app[0],12,0,Nw_64.MX_12.app[0]
f1,4,0,Nw_64.MX_4.app[0],8,4,Nw_64.MX_8.app[4]
f2,7,0,Nw_64.MX_7.app[0],12,1,Nw_64.MX_12.app[1]
f3,4,1,Nw_64.MX_4.app[1],12,2,Nw_64.MX_12.app[2]
f4,3,0,Nw_64.MX_3.app[0],12,3,Nw_64.MX_12.app[3]
f5,3,1,Nw_64.MX_3.app[1],8,5,Nw_64.MX_8.app[5]
f6,6,0,Nw_64.MX_6.app[0],12,4,Nw_64.MX_12.app[4]
f7,4,2,Nw_64.MX_4.app[2],12,5,Nw_64.MX_12.app[5]
f8,4,3,Nw_64.MX_4.app[3],12,6,Nw_64.MX_12.app[6]
f9,3,2,Nw_64.MX_3.app[2],12,7,Nw_64.MX_12.app[7]
f10,8,1,Nw_64.MX_8.app[1],12,8,Nw_64.MX_12.app[8]
f11,6,1,Nw_64.MX_6.app[1],8,6,Nw_64.MX_8.app[6]
f12,8,2,Nw_64.MX_8.app[2],12,9,Nw_64.MX_12.app[9]
f13,8,3,Nw_64.MX_8.app[3],12,10,Nw_64.MX_12.app[10]
f14,3,3,Nw_64.MX_3.app[3],12,11,Nw_64.MX_12.app[11]
f15,3,4,Nw_64.MX_3.app[4],6,3,Nw_64.MX_6.app[3]
f16,6,2,Nw_64.MX_6.app[2],12,12,Nw_64.MX_12.app[12]
f17,4,4,Nw_64.MX_4.app[4],6,4,Nw_64.MX_6.app[4]
f18,7,1,Nw_64.MX_7.app[1],12,13,Nw_64.MX_12.app[13]
f19,7,2,Nw_64.MX_7.app[2],12,14,Nw_64.MX_12.app[14]
