flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,3,0,Nw_65.MX_3.app[0],9,0,Nw_65.MX_9.app[0]
f1,4,0,Nw_65.MX_4.app[0],8,3,Nw_65.MX_8.app[3]
f2,5,0,Nw_65.MX_5.app[0],8,4,Nw_65.MX_8.app[4]
f3,2,0,Nw_65.MX_2.app[0],7,3,Nw_65.MX_7.app[3]
f4,3,1,Nw_65.MX_3.app[1],7,4,Nw_65.MX_7.app[4]
f5,8,0,Nw_65.MX_8.app[0],12,0,Nw_65.MX_12.app[0]
f6,7,0,Nw_65.MX_7.app[0],12,1,Nw_65.MX_12.app[1]
f7,1,0,Nw_65.MX_1.app[0],3,3,Nw_65.MX_3.app[3]
f8,6,0,Nw_65.MX_6.app[0],12,2,Nw_65.MX_12.app[2]
f9,2,1,Nw_65.MX_2.app[1],10,0,Nw_65.MX_10.app[0]
f10,1,1,Nw_65.MX_1.app[1],10,1,Nw_65.MX_10.app[1]
f11,2,2,Nw_65.MX_2.app[2],6,4,Nw_65.MX_6.app[4]
f12,1,2,Nw_65.MX_1.app[2],3,4,Nw_65.MX_3.app[4]
f13,2,3,Nw_65.MX_2.app[3],10,2,Nw_65.MX_10.app[2]
f14,7,1,Nw_65.MX_7.app[1],12,3,Nw_65.MX_12.app[3]
f15,6,1,Nw_65.MX_6.app[1],10,3,Nw_65.MX_10.app[3]
f16,4,1,Nw_65.MX_4.app[1],11,0,Nw_65.MX_11.app[0]
f17,1,3,Nw_65.MX_1.app[3],6,5,Nw_65.MX_6.app[5]
f18,7,2,Nw_65.MX_7.app[2],12,4,Nw_65.MX_12.app[4]
f19,8,1,Nw_65.MX_8.app[1],12,5,Nw_65.MX_12.app[5]
f20,6,2,Nw_65.MX_6.app[2],12,6,Nw_65.MX_12.app[6]
f21,5,1,Nw_65.MX_5.app[1],8,5,Nw_65.MX_8.app[5]
f22,3,2,Nw_65.MX_3.app[2],8,6,Nw_65.MX_8.app[6]
f23,1,4,Nw_65.MX_1.app[4],6,6,Nw_65.MX_6.app[6]
f24,8,2,Nw_65.MX_8.app[2],12,7,Nw_65.MX_12.app[7]
f25,1,5,Nw_65.MX_1.app[5],3,5,Nw_65.MX_3.app[5]
f26,5,2,Nw_65.MX_5.app[2],11,1,Nw_65.MX_11.app[1]
f27,2,4,Nw_65.MX_2.app[4],12,8,Nw_65.MX_12.app[8]
f28,2,5,Nw_65.MX_2.app[5],5,3,Nw_65.MX_5.app[3]
f29,6,3,Nw_65.MX_6.app[3],12,9,Nw_65.MX_12.app[9]
f30,1,6,Nw_65.MX_1.app[6],7,5,Nw_65.MX_7.app[5]
f31,1,7,Nw_65.MX_1.app[7],10,4,Nw_65.MX_10.app[4]
f32,1,8,Nw_65.MX_1.app[8],3,6,Nw_65.MX_3.app[6]
f33,4,2,Nw_65.MX_4.app[2],8,7,Nw_65.MX_8.app[7]
