topo_num,mean,min,p25,p50,p75,p95,p99,p99.9,p99.99,p99.999
0,0.9684519227731468,0.9787040475086204,0.9734282628483938,0.9658206335040532,0.9635873433556676,0.932926118271878,0.9069663371939995,0.8825724208883607,0.8530506473183659,0.7566461237305272
1,0.8168480580457124,0.973782055343032,0.9667927061855596,0.8648984162324718,0.7465909005412177,0.5687483090933031,0.4529084937697979,0.3160355811565753,0.1909795864150889,0.1897125206986793
2,0.8571293548616156,0.9831845950285872,0.8509194551568919,0.8307761581885951,0.8402099952219065,0.8479785210676771,0.7931121882167281,0.8039479301542999,0.7605658735041415,0.754410162297142
3,0.996703918219872,0.4494181730367318,0.9987113254299588,0.9985307988205772,0.9902144778645324,0.972242456873986,0.9584688485193742,0.9443489731436336,0.9330539286724144,0.9230438334217091
4,0.1759489529155534,0.9453844223201464,0.8410589150912186,0.6867209543398463,0.0071191855894877,0.1102363865590428,0.1287523170601676,0.1421393387050381,0.1661304150786076,0.0242559465277383
5,0.3128876349838836,3.7955996623757293e-16,9.05444593283799e-16,5.697535589778939e-16,0.4510219063316366,0.0407729147376886,0.0125830878275485,0.1325729556805937,0.0194335568905204,0.0812508494929006
6,0.926731198292526,0.956171866035654,0.9031362438444188,0.8700236781142126,0.9162678438071684,0.9285886087250566,0.9094977254013396,0.8870835503541118,0.8619876769658769,0.780949617369076
7,0.5620212643636406,0.9568529892770952,0.6418713432202116,0.6098453096851499,0.47992371649145,0.2857632309740067,0.1935414712373002,0.1636480848554792,0.0226539343016457,0.0664944288120823
8,0.9429984128841984,0.9797911095366424,0.9580573322795162,0.932924918450352,0.9245626021131116,0.8797557063165322,0.8372750115419795,0.8024488822860361,0.7441402738979893,0.0878329119519488
9,0.5901760959569146,0.983171175614507,0.846123296039912,0.7095191679981828,0.4144001740219401,0.0939187760165541,0.044422209764561,0.1574949362664625,0.2379350324845646,0.3463010820232541
10,0.8176366499193987,0.9528853805299758,0.8113076085340973,0.7669604550349101,0.7915576949752965,0.7178524098180502,0.7201658788721632,0.6240963339589295,0.53722469931485,0.2686036535463963
