topo_num,flow_num,mean,min,p25,p50,p75,p95,p99,p99.9,p99.99,p99.999
0,0,10.892398554901655,10.158,10.158,10.158,10.990142,13.7827445,16.6555067,19.681438270000008,22.208949190999743,22.84277608580012
0,1,3.761989385422473,3.386,3.386,3.386,3.386,6.167164999999998,7.856911840000006,10.62247843600008,13.271453939195618,15.616969906880126
0,2,7.601073750404772,6.771999999999999,6.771999999999999,6.771999999999999,7.946203499999999,10.808451799999998,13.55079699,17.57618939500033,21.316545760998867,25.4142778854398
0,3,4.084239414184895,3.386,3.386,3.386,4.057874,6.826391799999996,9.6193032,13.197471440000024,16.679223245599786,20.41597533555995
0,4,3.680518238191112,3.386,3.386,3.386,3.386,5.83277,6.6054597,6.8164599500000005,8.645036833999821,9.559656747700194
0,5,11.284553230851223,10.158,10.158,10.158,12.210384,14.834546,17.411258,20.90897830000021,23.23469918999921,24.274077128999945
0,6,3.6801328548354335,3.386,3.386,3.386,3.386,5.82436355,6.635484600000001,6.816113352000001,8.994509216499866,9.328705093210068
0,7,7.602074065543416,6.771999999999999,6.771999999999999,6.771999999999999,7.9594175,10.802715949999998,13.539280129999998,17.505090072000097,21.25854273419972,25.86546089179668
0,8,3.7521801777542594,3.386,3.386,3.386,3.386,6.024072850000001,6.67934765,7.576803158000654,9.700687896799511,11.341151556928558
0,9,11.298332443568611,10.158,10.158,10.158,12.195864,15.061946600000002,17.76110368,21.309639416000227,24.739527332799803,26.26765637680333
0,10,6.981735698958921,6.771999999999999,6.771999999999999,6.771999999999999,6.771999999999999,8.7841229,10.055487900000005,12.460189226000018,14.279906785999223,15.698131375879717
0,11,6.789213596151878,6.771999999999999,6.771999999999999,6.771999999999999,6.771999999999999,6.771999999999999,6.792137830000001,9.805884708000002,10.12139930189999,10.236672701849963
0,12,11.285443509477831,10.158,10.158,10.158,12.1515895,15.013820999999998,17.7694541,22.199779182000032,24.14695924739957,24.68295036128069
0,13,15.17761232946483,13.544,13.544,14.218004,16.31060925,19.46900725,22.43518621999999,26.582023568000015,31.06104622809918,32.54925916469066
0,14,3.684563550291621,3.386,3.386,3.386,3.386,5.84625625,6.65718605,7.749919460000179,9.584882308499356,10.077659941250293
0,15,11.100540638043642,10.158,10.158,10.158,11.808048,14.298976,16.788325999999998,20.439712250000124,24.09793684999931,27.042676265005262
0,16,15.09063317823046,13.544,13.544,14.160082,16.240318000000002,19.1144484,21.82480586,26.03663734400009,30.88890781319921,33.786859560140584
0,17,7.373375172394679,6.771999999999999,6.771999999999999,6.771999999999999,7.17883325,10.0154595,12.18226671,14.25504669700048,17.31048992869779,18.42047119255976
0,18,15.210898129024068,13.544,13.544,14.2782115,16.335214,19.57080185,22.59440079,26.9225058850001,31.767042375999456,33.73909167736255
0,19,7.477275053625467,6.771999999999999,6.771999999999999,6.771999999999999,7.469333,10.2662338,13.067258359999986,16.73748678900028,20.160366389299824,23.558137953703707
0,20,3.7563440872884337,3.386,3.386,3.386,3.386,6.023711,6.671734800000001,6.93679468000002,8.921173707999625,9.527687983201002
0,21,3.7620121299662665,3.386,3.386,3.386,3.386,6.17131235,7.867882819999999,10.557574780000254,13.374075763699905,16.467337111883044
0,22,7.602329655573447,6.771999999999999,6.771999999999999,6.771999999999999,7.95516925,10.812334149999998,13.571688109999986,17.424353373000102,20.71251065749919,24.287006501722285
0,23,3.741504460239485,3.386,3.386,3.386,3.386,6.01283715,6.65864776,7.629626642000102,9.575529449793386,11.95366702605
0,24,4.095157954938728,3.386,3.386,3.386,4.105591250000001,6.88080575,9.668348400000005,13.223938300000576,16.763697464999897,19.567944616171665
0,25,7.603927935422473,6.771999999999999,6.771999999999999,6.771999999999999,7.953089,10.831832699999998,13.588263119999995,17.3906632820003,21.26888163939716,24.40555294059998
0,26,3.675898574204049,3.386,3.386,3.386,3.386,5.798156950000001,6.64088576,7.7002988440003,9.639513686699614,10.1518316709903
0,27,7.463328835353897,6.771999999999999,6.771999999999999,6.771999999999999,7.554528,10.22415,12.883737550000006,16.52155753500027,20.243182679499466,23.77344355615057
0,28,3.692217270763616,3.386,3.386,3.386,3.386,5.850982,6.655009150000001,8.07504408600001,9.706789365099212,10.28737782911057
0,29,3.7498998100667897,3.386,3.386,3.386,3.386,6.1108085,7.680088699999996,10.301210080000033,12.894986928998936,15.607023322399096
0,30,4.1244960559504,3.386,3.386,3.386,4.2110945,7.0969405000000005,9.893705,13.824473900000328,17.738375934997922,21.731114364001492
0,31,7.470813982230642,6.771999999999999,6.771999999999999,6.771999999999999,7.43917425,10.234406899999996,13.039203809999997,16.67521076300074,20.180482978197823,24.051179335478583
0,32,3.54848788432368,3.386,3.386,3.386,3.386,4.929216199999999,6.54001742,8.654505818000207,10.380654724599964,12.430533266903604
0,33,3.763616864822729,3.386,3.386,3.386,3.386,6.179671300000002,7.849049520000005,10.516765020000244,13.252488934797338,16.35248289245988
0,34,3.670536876946801,3.386,3.386,3.386,3.386,5.7638235,6.623196899999999,6.946303742000055,9.395469367599931,9.753097167979876
0,35,10.892289497898512,10.158,10.158,10.158,10.9806515,13.725002399999996,16.689994979999998,20.08203426400016,23.74119041479929,24.759618076332625
0,36,3.7585424195173567,3.386,3.386,3.386,3.386,6.046917199999999,6.69491588,7.538967728000085,9.588967440799571,9.877800694880086
0,37,3.7011329432337,3.386,3.386,3.386,3.386,5.890331049999999,7.320694049999997,9.901483354000169,12.60421279999867,15.317492772552596
