topo_num,flow_num,mean,min,p25,p50,p75,p95,p99,p99.9,p99.99,p99.999
0,0,135.7651221506308,49.425,112.299,132.037,155.362,195.075,228.19078000000036,271.01747200000176,340.9417071998394,426.4440247805892
0,1,65.75297750395771,18.725,52.449,64.487,77.525,98.837,116.712,140.7326560000032,177.24542439998686,269.2324750001896
0,2,114.56662829745878,30.475,89.075,110.274,135.624,178.774,211.274,246.487,279.0473399999905,310.6286290002409
0,3,64.10891203019763,17.387,52.024,62.762,74.524,94.212,113.287,145.8010800000094,177.67961249999982,226.73983750013917
0,4,53.38046531739726,22.512,36.984,49.487,66.237,92.137,109.17568999999996,127.7278630000012,143.43838999999863,177.61732925005944
0,5,142.75208419209875,50.762,109.212,136.599,171.749,222.237,257.2660799999998,299.31170400000025,369.843279999976,460.5980150405249
0,6,79.24145632714935,19.487,57.424,76.162,97.462,131.61739999999995,159.16068,195.830693000001,216.6509010999948,270.91115593008675
0,7,115.87727676657924,30.85,90.437,111.637,137.025,179.787,211.374,246.37749700000117,278.7921168999844,312.9018830000544
0,8,60.538392656642046,19.112,43.762,57.337,73.675,101.225,122.35004000000002,153.05835200000257,179.33972999999787,192.83396504001075
0,9,133.98485483317995,47.637,112.825,131.737,152.662,186.8882,213.24,247.47823400000837,282.1845899999845,337.9381605000068
0,10,99.6033725295551,32.075,78.062,95.687,116.725,153.37159999999994,185.737,232.49560000000176,285.83780479999103,385.53161148080807
0,11,106.4506657703344,39.412,83.55,102.737,124.937,163.599,197.71250000000015,240.7435000000013,287.7769329999996,334.0026950001583
0,12,134.43958299492846,42.112,113.112,131.949,153.324,187.4704,213.97178000000008,251.312,298.5727071999149,389.9966067203581
0,13,178.06485378133064,64.799,144.062,172.937,207.487,259.6894,294.8519199999998,338.8834000000003,379.81517999999664,464.2907460000206
0,14,78.62917489711934,20.174,56.937,75.499,96.712,130.29985000000002,155.74886000000004,190.21414700000133,221.46011749999,247.0201935000024
0,15,148.0153793800661,51.687,114.387,142.087,176.875,228.512,266.50108000000006,311.43329600000106,351.3852799999977,389.9992640000089
0,16,168.2251059927798,63.774,134.337,162.649,197.499,248.47464999999997,284.09901,330.3299130000011,383.16704629999776,439.1407008799914
0,17,98.45961294223828,33.525,79.474,96.012,114.662,146.025,170.92401,203.98966200000447,237.9295824999972,294.8188788699838
0,18,176.45449254700978,63.425,142.387,171.162,206.012,257.912,294.6458800000001,339.91306900000063,379.2522455999449,422.45533706001993
0,19,101.92104904756776,28.999,83.2,99.424,117.999,148.862,173.612,207.662,239.89126239996403,276.0064582400248
0,20,60.26729251614765,19.412,43.474,56.949,73.4,100.94675,122.0465,153.13752500000257,179.7846874999951,202.7706749999886
0,21,61.82467851182804,18.3,47.787,60.15,73.649,95.887,114.1,138.712,174.1906874999525,249.2124164006337
0,22,110.64314843418668,29.375,85.387,106.299,131.275,174.937,208.39929000000004,244.9027480000006,275.0475724999972,306.5661377302194
0,23,58.32536470800613,21.487,41.987,55.087,70.849,97.562,117.31271999999996,148.2021500000002,170.56502499999235,182.3848672200022
0,24,64.08136659268068,16.924,51.937,62.724,74.55,94.375,113.274,145.85048200000077,179.14375339998864,223.20577391007777
0,25,115.84024423437792,30.587,90.424,111.575,136.949,179.799,211.3001200000001,246.88961300000156,277.36703999999537,307.2164425100011
0,26,79.05524106981615,17.237,57.162,75.9495,97.5,131.77855,156.64698999999987,192.8451510000001,221.556492599988,244.81700024000497
0,27,122.21494895776785,30.225,96.612,120.337,144.787,179.224,209.825,245.28750400003796,274.737,310.57035895982386
0,28,53.21438302404506,22.074,36.862,49.362,65.962,91.675,109.24965000000005,127.17238500000012,146.69695099999464,161.7562963500823
0,29,59.38711785608295,15.224,47.287,58.275,70.25,89.437,104.737,124.575,150.65165839999915,212.5404600010961
0,30,84.61347876089467,16.087,62.137,79.374,102.687,141.699,167.574,195.40638400000708,219.4587915999899,250.78083000009693
0,31,103.7596190553861,25.912,85.262,101.137,119.525,150.375,175.612,210.55248400000204,244.8949883999834,278.43404599997496
0,32,69.68920997410943,14.725,54.374,67.225,82.45,108.925,130.162,158.024,195.43074999993016,257.60402500007484
0,33,65.55543049921631,18.5,52.212,64.299,77.362,98.7,116.487,140.762,176.45372869998124,267.2342343700603
0,34,53.085300633654086,16.824,36.65,49.087,65.887,91.587,109.187,126.31870400000176,153.98883039999714,190.79052896000437
0,35,135.09373477051963,51.762,110.915,131.35,154.837,196.193,233.05290000000005,284.87200000000104,334.0556999999957,365.8122712501002
0,36,60.32517482580598,19.349,43.424,57.024,73.487,101.35094999999993,122.91239,153.03946100000024,177.13576499997845,187.72522463999505
0,37,81.18010142953045,14.737,59.724,75.55,98.824,136.549,158.412,182.38750400001555,208.4918503999859,259.64701654011947
0,38,103.59359788892364,30.037,85.112,100.987,119.35,150.15,175.387,209.937,244.274,284.004197000457
0,39,115.65270474918889,30.187,90.187,111.449,136.787,179.525,211.362,245.92684700000052,275.8936424999968,301.4212962799957
0,40,59.3926256037789,14.287,47.312,58.287,70.262,89.399,104.65,124.575,152.37310959999263,210.75431546036717
0,41,115.54733123394256,28.174,90.1,111.287,136.65,179.562,211.324,246.5285400000019,275.97848349996866,306.5242120999834
0,42,115.40326368741816,31.012,90.012,111.187,136.462,179.274,210.887,245.399,277.2710503999959,310.12012600004675
1,0,74.09437770442126,16.862,53.75,68.862,90.7,128.312,150.662,175.112,200.62487279999257,254.5789965005014
1,1,66.43715248355801,22.3,48.263,62.963,81.05,109.67434999999996,132.7271599999999,160.96101600000006,210.7753015999665,272.5738220900105
