flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,1,0,Nw_10.MX_1.app[0],9,0,Nw_10.MX_9.app[0]
f1,3,0,Nw_10.MX_3.app[0],11,0,Nw_10.MX_11.app[0]
f2,8,0,Nw_10.MX_8.app[0],11,1,Nw_10.MX_11.app[1]
f3,6,0,Nw_10.MX_6.app[0],9,1,Nw_10.MX_9.app[1]
f4,1,1,Nw_10.MX_1.app[1],11,2,Nw_10.MX_11.app[2]
f5,2,0,Nw_10.MX_2.app[0],10,0,Nw_10.MX_10.app[0]
f6,5,0,Nw_10.MX_5.app[0],11,3,Nw_10.MX_11.app[3]
f7,2,1,Nw_10.MX_2.app[1],9,2,Nw_10.MX_9.app[2]
f8,3,1,Nw_10.MX_3.app[1],10,1,Nw_10.MX_10.app[1]
f9,7,0,Nw_10.MX_7.app[0],11,4,Nw_10.MX_11.app[4]
f10,2,2,Nw_10.MX_2.app[2],7,3,Nw_10.MX_7.app[3]
f11,8,1,Nw_10.MX_8.app[1],10,2,Nw_10.MX_10.app[2]
f12,6,1,Nw_10.MX_6.app[1],10,3,Nw_10.MX_10.app[3]
f13,8,2,Nw_10.MX_8.app[2],11,5,Nw_10.MX_11.app[5]
f14,3,2,Nw_10.MX_3.app[2],6,6,Nw_10.MX_6.app[6]
f15,1,2,Nw_10.MX_1.app[2],6,7,Nw_10.MX_6.app[7]
f16,3,3,Nw_10.MX_3.app[3],10,4,Nw_10.MX_10.app[4]
f17,3,4,Nw_10.MX_3.app[4],6,8,Nw_10.MX_6.app[8]
f18,3,5,Nw_10.MX_3.app[5],9,3,Nw_10.MX_9.app[3]
f19,2,3,Nw_10.MX_2.app[3],10,5,Nw_10.MX_10.app[5]
f20,8,3,Nw_10.MX_8.app[3],11,6,Nw_10.MX_11.app[6]
f21,7,1,Nw_10.MX_7.app[1],10,6,Nw_10.MX_10.app[6]
f22,1,3,Nw_10.MX_1.app[3],8,5,Nw_10.MX_8.app[5]
f23,3,6,Nw_10.MX_3.app[6],11,7,Nw_10.MX_11.app[7]
f24,3,7,Nw_10.MX_3.app[7],8,6,Nw_10.MX_8.app[6]
f25,6,2,Nw_10.MX_6.app[2],11,8,Nw_10.MX_11.app[8]
f26,2,4,Nw_10.MX_2.app[4],9,4,Nw_10.MX_9.app[4]
f27,6,3,Nw_10.MX_6.app[3],11,9,Nw_10.MX_11.app[9]
f28,1,4,Nw_10.MX_1.app[4],10,7,Nw_10.MX_10.app[7]
f29,5,1,Nw_10.MX_5.app[1],11,10,Nw_10.MX_11.app[10]
f30,3,8,Nw_10.MX_3.app[8],6,9,Nw_10.MX_6.app[9]
f31,3,9,Nw_10.MX_3.app[9],11,11,Nw_10.MX_11.app[11]
f32,6,4,Nw_10.MX_6.app[4],11,12,Nw_10.MX_11.app[12]
f33,5,2,Nw_10.MX_5.app[2],11,13,Nw_10.MX_11.app[13]
f34,8,4,Nw_10.MX_8.app[4],11,14,Nw_10.MX_11.app[14]
f35,5,3,Nw_10.MX_5.app[3],7,4,Nw_10.MX_7.app[4]
f36,7,2,Nw_10.MX_7.app[2],11,15,Nw_10.MX_11.app[15]
f37,6,5,Nw_10.MX_6.app[5],11,16,Nw_10.MX_11.app[16]
f38,5,4,Nw_10.MX_5.app[4],9,5,Nw_10.MX_9.app[5]
