flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,8,0,Nw_85.MX_8.app[0],14,0,Nw_85.MX_14.app[0]
f1,1,0,Nw_85.MX_1.app[0],8,4,Nw_85.MX_8.app[4]
f2,9,0,Nw_85.MX_9.app[0],14,1,Nw_85.MX_14.app[1]
f3,2,0,Nw_85.MX_2.app[0],14,2,Nw_85.MX_14.app[2]
f4,5,0,Nw_85.MX_5.app[0],14,3,Nw_85.MX_14.app[3]
f5,9,1,Nw_85.MX_9.app[1],14,4,Nw_85.MX_14.app[4]
f6,1,1,Nw_85.MX_1.app[1],2,5,Nw_85.MX_2.app[5]
f7,3,0,Nw_85.MX_3.app[0],7,3,Nw_85.MX_7.app[3]
f8,10,0,Nw_85.MX_10.app[0],14,5,Nw_85.MX_14.app[5]
f9,9,2,Nw_85.MX_9.app[2],11,0,Nw_85.MX_11.app[0]
f10,6,0,Nw_85.MX_6.app[0],9,5,Nw_85.MX_9.app[5]
f11,6,1,Nw_85.MX_6.app[1],14,6,Nw_85.MX_14.app[6]
f12,10,1,Nw_85.MX_10.app[1],14,7,Nw_85.MX_14.app[7]
f13,8,1,Nw_85.MX_8.app[1],14,8,Nw_85.MX_14.app[8]
f14,10,2,Nw_85.MX_10.app[2],13,0,Nw_85.MX_13.app[0]
f15,10,3,Nw_85.MX_10.app[3],14,9,Nw_85.MX_14.app[9]
f16,7,0,Nw_85.MX_7.app[0],14,10,Nw_85.MX_14.app[10]
f17,1,2,Nw_85.MX_1.app[2],14,11,Nw_85.MX_14.app[11]
f18,3,1,Nw_85.MX_3.app[1],6,6,Nw_85.MX_6.app[6]
f19,9,3,Nw_85.MX_9.app[3],14,12,Nw_85.MX_14.app[12]
f20,8,2,Nw_85.MX_8.app[2],9,6,Nw_85.MX_9.app[6]
f21,7,1,Nw_85.MX_7.app[1],14,13,Nw_85.MX_14.app[13]
f22,1,3,Nw_85.MX_1.app[3],5,3,Nw_85.MX_5.app[3]
f23,2,1,Nw_85.MX_2.app[1],9,7,Nw_85.MX_9.app[7]
f24,6,2,Nw_85.MX_6.app[2],14,14,Nw_85.MX_14.app[14]
f25,2,2,Nw_85.MX_2.app[2],11,1,Nw_85.MX_11.app[1]
f26,1,4,Nw_85.MX_1.app[4],2,6,Nw_85.MX_2.app[6]
f27,10,4,Nw_85.MX_10.app[4],14,15,Nw_85.MX_14.app[15]
f28,2,3,Nw_85.MX_2.app[3],5,4,Nw_85.MX_5.app[4]
f29,6,3,Nw_85.MX_6.app[3],14,16,Nw_85.MX_14.app[16]
f30,5,1,Nw_85.MX_5.app[1],7,4,Nw_85.MX_7.app[4]
f31,4,0,Nw_85.MX_4.app[0],7,5,Nw_85.MX_7.app[5]
f32,8,3,Nw_85.MX_8.app[3],14,17,Nw_85.MX_14.app[17]
f33,4,1,Nw_85.MX_4.app[1],7,6,Nw_85.MX_7.app[6]
f34,2,4,Nw_85.MX_2.app[4],12,0,Nw_85.MX_12.app[0]
f35,6,4,Nw_85.MX_6.app[4],14,18,Nw_85.MX_14.app[18]
f36,9,4,Nw_85.MX_9.app[4],14,19,Nw_85.MX_14.app[19]
f37,5,2,Nw_85.MX_5.app[2],10,5,Nw_85.MX_10.app[5]
f38,7,2,Nw_85.MX_7.app[2],14,20,Nw_85.MX_14.app[20]
f39,6,5,Nw_85.MX_6.app[5],14,21,Nw_85.MX_14.app[21]
