flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,1,0,Nw_58.MX_1.app[0],11,0,Nw_58.MX_11.app[0]
f1,1,1,Nw_58.MX_1.app[1],7,5,Nw_58.MX_7.app[5]
f2,6,0,Nw_58.MX_6.app[0],10,0,Nw_58.MX_10.app[0]
f3,3,0,Nw_58.MX_3.app[0],7,6,Nw_58.MX_7.app[6]
f4,3,1,Nw_58.MX_3.app[1],5,3,Nw_58.MX_5.app[3]
f5,7,0,Nw_58.MX_7.app[0],12,0,Nw_58.MX_12.app[0]
f6,4,0,Nw_58.MX_4.app[0],12,1,Nw_58.MX_12.app[1]
f7,6,1,Nw_58.MX_6.app[1],12,2,Nw_58.MX_12.app[2]
f8,7,1,Nw_58.MX_7.app[1],12,3,Nw_58.MX_12.app[3]
f9,3,2,Nw_58.MX_3.app[2],5,4,Nw_58.MX_5.app[4]
f10,7,2,Nw_58.MX_7.app[2],12,4,Nw_58.MX_12.app[4]
f11,7,3,Nw_58.MX_7.app[3],11,1,Nw_58.MX_11.app[1]
f12,5,0,Nw_58.MX_5.app[0],12,5,Nw_58.MX_12.app[5]
f13,3,3,Nw_58.MX_3.app[3],12,6,Nw_58.MX_12.app[6]
f14,7,4,Nw_58.MX_7.app[4],12,7,Nw_58.MX_12.app[7]
f15,2,0,Nw_58.MX_2.app[0],9,0,Nw_58.MX_9.app[0]
f16,3,4,Nw_58.MX_3.app[4],12,8,Nw_58.MX_12.app[8]
f17,2,1,Nw_58.MX_2.app[1],9,1,Nw_58.MX_9.app[1]
f18,2,2,Nw_58.MX_2.app[2],12,9,Nw_58.MX_12.app[9]
f19,5,1,Nw_58.MX_5.app[1],7,7,Nw_58.MX_7.app[7]
f20,6,2,Nw_58.MX_6.app[2],8,0,Nw_58.MX_8.app[0]
f21,5,2,Nw_58.MX_5.app[2],7,8,Nw_58.MX_7.app[8]
f22,4,1,Nw_58.MX_4.app[1],12,10,Nw_58.MX_12.app[10]
f23,4,2,Nw_58.MX_4.app[2],12,11,Nw_58.MX_12.app[11]
f24,3,5,Nw_58.MX_3.app[5],12,12,Nw_58.MX_12.app[12]
f25,4,3,Nw_58.MX_4.app[3],12,13,Nw_58.MX_12.app[13]
f26,6,3,Nw_58.MX_6.app[3],12,14,Nw_58.MX_12.app[14]
f27,4,4,Nw_58.MX_4.app[4],11,2,Nw_58.MX_11.app[2]
f28,1,2,Nw_58.MX_1.app[2],6,4,Nw_58.MX_6.app[4]
