flow,src,snd_app_id,snd_module,dst,recv_app_id,recv_module
f0,1,0,Nw_62.MX_1.app[0],6,0,Nw_62.MX_6.app[0]
f1,3,0,Nw_62.MX_3.app[0],5,3,Nw_62.MX_5.app[3]
f2,1,1,Nw_62.MX_1.app[1],6,1,Nw_62.MX_6.app[1]
f3,5,0,Nw_62.MX_5.app[0],10,0,Nw_62.MX_10.app[0]
f4,7,0,Nw_62.MX_7.app[0],10,1,Nw_62.MX_10.app[1]
f5,7,1,Nw_62.MX_7.app[1],10,2,Nw_62.MX_10.app[2]
f6,7,2,Nw_62.MX_7.app[2],10,3,Nw_62.MX_10.app[3]
f7,8,0,Nw_62.MX_8.app[0],10,4,Nw_62.MX_10.app[4]
f8,7,3,Nw_62.MX_7.app[3],8,6,Nw_62.MX_8.app[6]
f9,4,0,Nw_62.MX_4.app[0],8,7,Nw_62.MX_8.app[7]
f10,1,2,Nw_62.MX_1.app[2],9,0,Nw_62.MX_9.app[0]
f11,1,3,Nw_62.MX_1.app[3],10,5,Nw_62.MX_10.app[5]
f12,3,1,Nw_62.MX_3.app[1],10,6,Nw_62.MX_10.app[6]
f13,4,1,Nw_62.MX_4.app[1],10,7,Nw_62.MX_10.app[7]
f14,5,1,Nw_62.MX_5.app[1],8,8,Nw_62.MX_8.app[8]
f15,3,2,Nw_62.MX_3.app[2],7,6,Nw_62.MX_7.app[6]
f16,3,3,Nw_62.MX_3.app[3],5,4,Nw_62.MX_5.app[4]
f17,8,1,Nw_62.MX_8.app[1],9,1,Nw_62.MX_9.app[1]
f18,8,2,Nw_62.MX_8.app[2],9,2,Nw_62.MX_9.app[2]
f19,7,4,Nw_62.MX_7.app[4],10,8,Nw_62.MX_10.app[8]
f20,1,4,Nw_62.MX_1.app[4],7,7,Nw_62.MX_7.app[7]
f21,4,2,Nw_62.MX_4.app[2],10,9,Nw_62.MX_10.app[9]
f22,8,3,Nw_62.MX_8.app[3],10,10,Nw_62.MX_10.app[10]
f23,5,2,Nw_62.MX_5.app[2],10,11,Nw_62.MX_10.app[11]
f24,1,5,Nw_62.MX_1.app[5],6,2,Nw_62.MX_6.app[2]
f25,3,4,Nw_62.MX_3.app[4],9,3,Nw_62.MX_9.app[3]
f26,8,4,Nw_62.MX_8.app[4],10,12,Nw_62.MX_10.app[12]
f27,3,5,Nw_62.MX_3.app[5],10,13,Nw_62.MX_10.app[13]
f28,8,5,Nw_62.MX_8.app[5],10,14,Nw_62.MX_10.app[14]
f29,7,5,Nw_62.MX_7.app[5],8,9,Nw_62.MX_8.app[9]
f30,4,3,Nw_62.MX_4.app[3],10,15,Nw_62.MX_10.app[15]
f31,4,4,Nw_62.MX_4.app[4],10,16,Nw_62.MX_10.app[16]
